Time,AE Data,EC Data,Mech Data,Output
0.521714286,305307607.1,2.70E-07,0.066179805,2
1.502477876,304136889.8,1.39E-07,0.095644418,2
2.507885463,302760898.7,1.14E-07,0.089067194,2
3.508311111,300070513.8,7.44E-08,0.088712771,2
4.500322581,306055962.7,5.25E-08,0.067339126,2
5.500892019,301053258.7,3.98E-08,0.064583064,2
6.500187793,300910939.4,3.09E-08,0.06188721,2
7.503524229,302755441,2.70E-08,0.086563452,2
8.502711111,300163183.6,1.39E-08,0.086085515,2
9.488461538,310618369.7,1.57E-08,0.075782478,2
10.49425234,326376354.7,2.50E-08,0.071461097,2
11.50063636,301794570,7.37E-09,0.065996933,2
12.50659193,292391844.8,-2.80E-09,0.087132638,2
13.50591928,193401330.9,-7.30E-09,0.083576476,2
14.50915556,146040934.2,-3.45E-09,0.078898313,2
15.51239819,180455818.6,4.42E-09,0.075714005,2
16.52359447,176585406,3.10E-09,0.082265005,2
17.50613333,171637356.9,-1.55E-09,0.090680053,2
18.50647321,166656896.5,-1.12E-08,0.084481874,2
19.50289593,162772111.3,-7.58E-09,0.077051246,2
20.499819,162262745.3,-2.50E-09,0.073687401,2
21.50488889,173468157.4,-5.01E-09,0.100981954,2
22.50417778,163857747.7,-1.15E-08,0.10322779,2
23.50585903,170339899.6,-7.95E-09,0.089103392,2
24.50772321,172694009.9,-8.44E-09,0.085688468,2
25.49862385,189076146.3,-2.93E-09,0.068180391,2
26.50294393,182850703.7,-2.82E-09,0.07274102,2
27.50684685,152482662.3,-1.30E-08,0.090049821,2
28.50413333,171294411.7,-9.75E-09,0.087064471,2
29.5050885,177438644.2,-1.28E-08,0.080278495,2
30.49720183,161821025.6,-6.92E-09,0.070526362,2
31.50704036,186954474.9,-1.12E-08,0.079269382,2
32.50513393,188065294.3,-1.95E-08,0.087041738,2
33.5021875,164839444.6,-1.69E-08,0.079954658,2
34.50294643,155316387,-1.44E-08,0.080103108,2
35.50927928,188808532.4,-1.22E-08,0.071134647,2
36.51827907,174186098.5,-1.16E-08,0.08165049,2
37.50715556,158797393.2,-1.44E-08,0.097646746,2
38.50517699,173790333.9,-1.05E-08,0.091794435,2
39.50379464,180133126.4,-1.60E-08,0.084471386,2
40.51443925,164129781,-1.45E-08,0.070143283,2
41.50225225,158271008.2,-2.43E-08,0.070974493,2
42.50331839,177622587.4,-1.87E-08,0.075631963,2
43.50588496,169308976.3,-1.95E-08,0.087490777,2
44.50584071,153456057,-2.01E-08,0.072827647,2
45.50676991,175211877.1,-1.77E-08,0.071989817,2
46.50482143,168551283.4,-2.33E-08,0.07313366,2
47.50527919,175155976.6,5.13E-09,0.047081708,2
48.50828431,186583469.2,-9.06E-09,0.058908576,2
49.51588832,197272026.9,-5.08E-09,0.061247508,2
50.49905263,186952999.1,1.17E-09,0.043053139,2
51.49916667,189193759.7,7.52E-09,0.043040223,2
52.49891192,197767783,6.43E-09,0.041748486,2
53.50489583,201227584.2,5.67E-09,0.040295369,2
54.50452632,173531090.3,2.89E-09,0.041689918,2
55.50502618,211091397.8,7.17E-09,0.043001261,2
56.50803109,207609266.6,2.78E-09,0.042971409,2
57.50869792,193980025.7,9.49E-09,0.042244792,2
58.505625,191204577,9.01E-09,0.041502259,2
59.50699482,214817446.9,4.78E-09,0.040547662,2
60.50589474,211045780.6,3.39E-09,0.041646354,2
61.50573684,177718548.9,-1.79E-11,0.043849524,2
62.50180851,219131006.4,4.79E-09,0.043259613,2
63.5021466,211791436.8,-1.10E-08,0.042599823,2
64.50162304,201858780.6,-1.08E-09,0.040894909,2
65.50642487,208949696.5,-4.64E-09,0.04078101,2
66.51041237,239635844.9,5.54E-09,0.041613029,2
67.50717277,217661232.9,5.25E-09,0.043248218,2
68.5084456,185833320.8,4.15E-09,0.042882202,2
69.50760417,222734791.5,4.60E-09,0.041613077,2
70.50666667,213987080.1,-8.81E-10,0.041250016,2
71.50710526,190836750.8,8.14E-09,0.040772606,2
72.50268041,221246011,2.43E-09,0.042167433,2
73.50520833,224820510.8,6.11E-09,0.043470758,2
74.50183246,201709430,4.51E-09,0.042657415,2
75.50394737,190685651.5,1.01E-08,0.041712999,2
76.505,220614179.3,4.59E-09,0.040763475,2
77.50589474,207091263.6,3.39E-09,0.041085289,2
78.50521053,179531498.9,5.15E-12,0.042731325,2
79.50445596,225091487.5,6.46E-09,0.043277296,2
80.50367876,222019343.5,6.71E-09,0.04257644,2
81.50465969,195091247.6,7.22E-09,0.040985175,2
82.50289474,198834165.2,-1.25E-09,0.041187001,2
83.50089005,223830146.3,4.35E-09,0.040922475,2
84.50492147,203753657.4,4.67E-09,0.043276793,2
85.50463542,184243537.1,5.70E-09,0.042807229,2
86.50541667,222080429.9,6.54E-10,0.04258829,2
87.50588542,211130333.7,2.65E-10,0.040954506,2
88.51,194430045.6,5.58E-09,0.040305596,2
89.50619048,209161668.7,1.97E-09,0.041922611,2
90.50340426,217568593.1,3.33E-09,0.043502243,2
91.49790576,197117093.2,1.69E-09,0.043392544,2
92.49948187,194360373.1,5.08E-09,0.04139347,2
93.4992228,224329683.6,5.68E-09,0.040582371,2
94.50536082,226157082.6,1.54E-09,0.040459819,2
95.50216931,190160877.9,-5.06E-09,0.041359086,2
96.50598958,217880971.3,8.04E-10,0.043146022,2
97.50910526,230652242.8,-8.93E-09,0.043187825,2
98.50921875,203876109.5,-1.08E-08,0.04175364,2
99.50647368,198263554.9,7.04E-09,0.040373368,2
100.5057813,227802146.8,-1.34E-08,0.041034011,2
101.506875,220136121.9,-2.63E-08,0.042202372,2
102.5075263,188616203.9,-2.86E-08,0.043232847,2
103.5006915,219223231.9,-3.57E-08,0.043246283,2
104.4971728,221655586.1,-3.31E-08,0.04108623,2
