Time,AE Data,EC Data,Mech Data,Output
0.524247104,57601.2471,-6.32E-06,0.058174024,1
1.506125461,58880.23985,-4.30E-06,0.060298626,1
2.503834586,59505.24436,-3.48E-06,0.068149606,1
3.505222222,56791.75556,-3.01E-06,0.068822579,1
4.504312268,57165.43123,-2.70E-06,0.068354503,1
5.474234234,57068.51802,-2.35E-06,0.049333388,1
6.505320197,56612.37931,-2.11E-06,0.040703721,1
7.507647059,55636.26961,-1.99E-06,0.04121297,1
8.504776119,57862.96517,-1.89E-06,0.041634658,1
9.501724138,55560.78818,-1.82E-06,0.046399846,1
10.50256158,54734.21675,-1.75E-06,0.040781589,1
11.50509804,57603.26961,-1.69E-06,0.039141035,1
12.51029412,56341.11275,-1.65E-06,0.039318805,1
13.50741294,50275.66667,-1.60E-06,0.036499311,1
14.50280788,46559.47291,-1.57E-06,0.038336103,1
15.50514706,45916.18137,-1.53E-06,0.041078845,1
16.50827586,46019.79803,-1.50E-06,0.04087934,1
17.50539604,47412.37129,-1.47E-06,0.0395906,1
18.50300493,46571.62562,-1.45E-06,0.039669535,1
19.50529412,45587.96078,-1.42E-06,0.040681668,1
20.5059901,48300.10396,-1.40E-06,0.041370273,1
21.50607843,47643.68627,-1.39E-06,0.040699031,1
22.50594059,47132.33663,-1.37E-06,0.039694501,1
23.50617647,47709.20098,-1.36E-06,0.039160702,1
24.50663366,46623.23762,-1.34E-06,0.039722057,1
25.50686275,45253.72549,-1.32E-06,0.040770317,1
26.50693069,48254.5396,-1.30E-06,0.041398783,1
27.50458128,47007.26601,-1.29E-06,0.040637486,1
28.50492611,46386.61576,-1.28E-06,0.039765565,1
29.50507389,47860.2266,-1.27E-06,0.039013591,1
30.50561576,45532.06404,-1.26E-06,0.039738085,1
31.50336634,45192.68812,-1.23E-06,0.040749195,1
32.50313725,48798.46078,-1.19E-06,0.041313489,1
33.50625616,46970.90148,-1.19E-06,0.040512375,1
34.50386139,45708.64356,-1.17E-06,0.039424073,1
35.5017734,47804.03941,-1.17E-06,0.038878272,1
36.50211823,46305.37438,-1.16E-06,0.03953653,1
37.50460784,45435.72549,-1.16E-06,0.040660879,1
38.5070936,47682.67488,-1.14E-06,0.041292243,1
39.50529703,47516.77228,-1.16E-06,0.040425623,1
40.50305419,46656.83251,-1.14E-06,0.039228203,1
41.50558824,47916.90196,-1.14E-06,0.038648476,1
42.50852217,45909.49261,-1.12E-06,0.039456644,1
43.5059901,46383.75743,-1.12E-06,0.040571454,1
44.50369458,48255.61084,-1.13E-06,0.04125408,1
45.50403941,46112.73892,-1.12E-06,0.040251113,1
46.50666667,46021.33824,-1.12E-06,0.039165249,1
47.5069802,48385.80693,-1.11E-06,0.038421627,1
48.50487685,45685.42365,-1.12E-06,0.039340317,1
49.50517241,45483.96059,-1.11E-06,0.040471719,1
50.5077451,48888.39706,-1.09E-06,0.041117352,1
51.50792079,47710.61881,-1.10E-06,0.040292437,1
52.50311881,46135.82673,-1.10E-06,0.03904527,1
53.50581281,48174.38424,-1.09E-06,0.03843053,1
54.50381188,46469.68812,-1.09E-06,0.039371287,1
55.50465686,45286.30392,-1.10E-06,0.040593196,1
56.50694581,47309.46305,-1.09E-06,0.041273073,1
57.50450495,47498.43069,-1.09E-06,0.040273112,1
58.50216749,45797.12808,-1.09E-06,0.039264585,1
59.50504902,48723.2549,-1.08E-06,0.038515887,1
60.50783251,47411.34483,-1.09E-06,0.03930714,1
61.50564356,45829.28713,-1.06E-06,0.040590004,1
62.50320197,48830.53695,-1.07E-06,0.041286783,1
63.50330049,47229.12315,-1.07E-06,0.040296338,1
64.50583333,46622.9902,-1.06E-06,0.039147,1
65.508867,48651.18227,-1.05E-06,0.038395157,1
66.50638614,46177.85149,-1.06E-06,0.039356615,1
67.5046798,45621.80296,-1.05E-06,0.040510831,1
68.50492611,48841.51232,-1.04E-06,0.041245712,1
69.50512315,47564.47783,-1.06E-06,0.040364354,1
70.50252475,46174.22277,-1.05E-06,0.039014792,1
71.50284314,48721.77451,-1.05E-06,0.038379932,1
72.50596059,46627.02463,-1.04E-06,0.039236691,1
73.50605911,45976.91626,-1.04E-06,0.040440738,1
74.50625616,49039.93596,-1.05E-06,0.041222565,1
75.50386139,46591.29703,-1.04E-06,0.040164857,1
76.50426471,46566.57843,-1.04E-06,0.039016891,1
77.50445545,48850.41584,-1.04E-06,0.03826172,1
78.50514706,46902.7451,-1.04E-06,0.039294118,1
79.50529703,45470.4703,-1.03E-06,0.040488071,1
80.50529412,48575.7598,-1.03E-06,0.041160524,1
81.50569307,47507.26733,-1.04E-06,0.040306752,1
82.50359606,47826.92118,-1.03E-06,0.038971096,1
83.50666667,48316.59804,-1.02E-06,0.03831284,1
84.50707921,46436.64356,-1.03E-06,0.039224919,1
85.50453202,46002.93596,-1.03E-06,0.040487151,1
